       0.0000000000E+00      0.1000000000E+01      0.1000000000E+01      0.1000000000E+01      0.1000000000E+01      0.1000000000E+01      0.0000000000E+00      0.1000000000E+01      0.1000000000E+01      0.0000000000E+00      0.0000000000E+00      1.0000000000E+32      0.0000000000E+00      0.1000000000E+01
       0.1709975939E-02      0.9999999975E+00      0.9999988440E+00      0.9999977002E+00      0.1000001144E+01      0.9999988563E+00      0.3674433252E-04      0.1000001150E+01      0.1000000000E+01      0.2924017731E-05      0.1949342907E-05      0.3419951921E+06      0.1299038097E-03      0.9999999967E+00
       0.2466212061E-02      0.9999999925E+00      0.9999988627E+00      0.9999977484E+00      0.1000001114E+01      0.9999988857E+00      0.7643128967E-04      0.1000001126E+01      0.1000000000E+01      0.6082202001E-05      0.4054796746E-05      0.1644141386E+06      0.2249999968E-03      0.9999999900E+00
       0.2924017716E-02      0.9999999875E+00      0.9999988692E+00      0.9999977768E+00      0.1000001092E+01      0.9999989075E+00      0.1074410753E-03      0.1000001112E+01      0.1000000000E+01      0.8549879770E-05      0.5699913476E-05      0.1169607096E+06      0.2904737446E-03      0.9999999833E+00
       0.3271066281E-02      0.9999999825E+00      0.9999988648E+00      0.9999977804E+00      0.1000001084E+01      0.9999989156E+00      0.1344587392E-03      0.1000001110E+01      0.1000000000E+01      0.1069987489E-04      0.7133241953E-05      0.9345903710E+05      0.3436931671E-03      0.9999999767E+00
       0.3684031465E-02      0.9999999750E+00      0.9999988539E+00      0.9999977811E+00      0.1000001073E+01      0.9999989272E+00      0.1705520750E-03      0.1000001109E+01      0.1000000000E+01      0.1357208833E-04      0.9048048774E-05      0.7368062909E+05      0.4107919033E-03      0.9999999667E+00
       0.5313292709E-02      0.9999999250E+00      0.9999987830E+00      0.9999977730E+00      0.1000001010E+01      0.9999989900E+00      0.3547626017E-03      0.1000001113E+01      0.1000000000E+01      0.2823108233E-04      0.1882070019E-04      0.3542195071E+05      0.7115123945E-03      0.9999999000E+00
       0.6299604982E-02      0.9999998750E+00      0.9999987163E+00      0.9999977729E+00      0.1000000943E+01      0.9999990566E+00      0.4986972613E-03      0.1000001114E+01      0.1000000000E+01      0.3968502968E-04      0.2645665607E-04      0.2519841903E+05      0.9185584826E-03      0.9999998333E+00
       0.7047298315E-02      0.9999998250E+00      0.9999986494E+00      0.9999977725E+00      0.1000000877E+01      0.9999991231E+00      0.6241021220E-03      0.1000001114E+01      0.1000000000E+01      0.4966442531E-04      0.3310957839E-04      0.2013513699E+05      0.1086852972E-02      0.9999997667E+00
       0.7663093743E-02      0.9999997750E+00      0.9999985832E+00      0.9999977733E+00      0.1000000810E+01      0.9999991901E+00      0.7379358750E-03      0.1000001113E+01      0.1000000000E+01      0.5872302354E-04      0.3914863635E-04      0.1702909603E+05      0.1232375340E-02      0.9999997000E+00
       0.9999998316E-02      0.9999995000E+00      0.9999982167E+00      0.9999977736E+00      0.1000000443E+01      0.9999995570E+00      0.1256638037E-02      0.1000001113E+01      0.1000000000E+01      0.1000000333E-03      0.6666660568E-04      0.9999996735E+04      0.1837115929E-02      0.9999993333E+00
       0.1259920628E-01      0.9999990000E+00      0.9999975502E+00      0.9999977740E+00      0.9999997762E+00      0.1000000224E+01      0.1994787877E-02      0.1000001113E+01      0.1000000000E+01      0.1587402110E-03      0.1058266612E-03      0.6299601093E+04      0.2598072314E-02      0.9999986667E+00
       0.1442248847E-01      0.9999985000E+00      0.9999968835E+00      0.9999977739E+00      0.9999991096E+00      0.1000000890E+01      0.2613910710E-02      0.1000001113E+01      0.1000000000E+01      0.2080085903E-03      0.1386721835E-03      0.4807493793E+04      0.3181973356E-02      0.9999980000E+00
       0.1587399991E-01      0.9999980000E+00      0.9999962168E+00      0.9999977739E+00      0.9999984429E+00      0.1000001557E+01      0.3166526263E-02      0.1000001113E+01      0.1000000000E+01      0.2519845460E-03      0.1679894205E-03      0.3968497366E+04      0.3674223592E-02      0.9999973333E+00
       0.1709974519E-01      0.9999975000E+00      0.9999955502E+00      0.9999977739E+00      0.9999977762E+00      0.1000002224E+01      0.3674427011E-02      0.1000001113E+01      0.1000000000E+01      0.2924022612E-03      0.1949344935E-03      0.3419946217E+04      0.4107903777E-02      0.9999966667E+00
