 Nouvelles tables d'opacite d'Anders-Grevesse 1991 (completes par Kurucz pour x=0.7 et T6<0.010, seulement table 8)
 completees  par  les tables de Kurucz pour  X = 0.7             et T6 < 0.006
                  les tables de Huebner pour X = 0.0, 0.35, 0.7  et T6 > 100.
                  les tables de Huebner pour X = 0.0, 0.35       et T6 < 0.006

 Les tables d'opacite d'Anders-Grevesse 1991, pour Z = 0.0 ne sont pas prises.

 T6 est la temperature en million de degres
 R  est  definie comme R = Rho/ (T6)**3 ou Rho est la densite


               TABLE  1   (date: 03/20/92 with Fe intermediate coupling)

               Grevesse'91 Abundances for X=0.70 and Z=0.0000

                                          Log R

    T6  -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5   -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0

  0.200 -0.469 -0.470 -0.455 -0.424 -0.350 -0.199  0.054  0.400  0.818  1.280  1.758  2.236  2.700  0.000  0.000  0.000  0.000
  0.250 -0.470 -0.470 -0.460 -0.439 -0.387 -0.279 -0.090  0.184  0.539  0.957  1.413  1.881  2.340  0.000  0.000  0.000  0.000
  0.300 -0.470 -0.470 -0.463 -0.448 -0.409 -0.327 -0.182  0.041  0.347  0.729  1.163  1.620  2.077  0.000  0.000  0.000  0.000
  0.400 -0.470 -0.471 -0.466 -0.456 -0.431 -0.378 -0.280 -0.118  0.123  0.446  0.839  1.275  1.724  0.000  0.000  0.000  0.000
  0.500 -0.471 -0.471 -0.467 -0.460 -0.442 -0.404 -0.329 -0.200  0.000  0.282  0.641  1.055  1.493  0.000  0.000  0.000  0.000
  0.600 -0.471 -0.471 -0.468 -0.463 -0.449 -0.418 -0.357 -0.249 -0.074  0.179  0.511  0.905  1.333  0.000  0.000  0.000  0.000
  0.800 -0.471 -0.471 -0.469 -0.465 -0.456 -0.434 -0.389 -0.305 -0.164  0.049  0.341  0.704  1.115  0.000  0.000  0.000  0.000
  1.000 -0.471 -0.471 -0.470 -0.467 -0.460 -0.442 -0.405 -0.335 -0.213 -0.026  0.238  0.577  0.972  1.388  0.000  0.000  0.000
  1.200 -0.472 -0.472 -0.470 -0.468 -0.462 -0.447 -0.416 -0.354 -0.245 -0.076  0.168  0.489  0.870  1.275  0.000  0.000  0.000
  1.500 -0.472 -0.472 -0.471 -0.469 -0.464 -0.452 -0.426 -0.374 -0.284 -0.129  0.092  0.392  0.753  1.153  0.000  0.000  0.000
  2.000 -0.473 -0.473 -0.472 -0.470 -0.468 -0.457 -0.436 -0.393 -0.313 -0.182  0.017  0.291  0.628  1.035  0.000  0.000  0.000
  2.500 -0.473 -0.473 -0.473 -0.471 -0.469 -0.460 -0.442 -0.404 -0.334 -0.214 -0.028  0.228  0.553  0.959  0.000  0.000  0.000
  3.000 -0.474 -0.474 -0.473 -0.472 -0.470 -0.463 -0.447 -0.413 -0.349 -0.240 -0.068  0.171  0.492  0.891  0.000  0.000  0.000
  4.000 -0.475 -0.475 -0.474 -0.474 -0.471 -0.466 -0.452 -0.423 -0.366 -0.269 -0.115  0.105  0.427  0.801  0.000  0.000  0.000
  5.000 -0.476 -0.476 -0.475 -0.475 -0.473 -0.468 -0.455 -0.430 -0.378 -0.290 -0.149  0.064  0.367  0.737  0.000  0.000  0.000
  6.000 -0.477 -0.477 -0.477 -0.476 -0.474 -0.470 -0.459 -0.436 -0.388 -0.306 -0.177  0.033  0.322  0.684  0.000  0.000  0.000
  8.000 -0.478 -0.479 -0.479 -0.478 -0.476 -0.473 -0.464 -0.444 -0.401 -0.330 -0.211 -0.012  0.256  0.599  0.000  0.000  0.000
 10.000 -0.480 -0.481 -0.481 -0.480 -0.478 -0.475 -0.467 -0.450 -0.412 -0.349 -0.227 -0.050  0.208  0.532  0.000  0.000  0.000
 15.000 -0.485 -0.485 -0.485 -0.485 -0.484 -0.481 -0.476 -0.460 -0.428 -0.376 -0.272 -0.112  0.115  0.408  0.000  0.000  0.000
 20.000 -0.490 -0.490 -0.490 -0.489 -0.489 -0.486 -0.480 -0.470 -0.440 -0.392 -0.303 -0.159  0.047  0.319  0.000  0.000  0.000
 30.000 -0.499 -0.499 -0.499 -0.499 -0.498 -0.496 -0.494 -0.485 -0.459 -0.419 -0.345 -0.229 -0.055  0.191  0.000  0.000  0.000
 40.000 -0.509 -0.509 -0.508 -0.508 -0.508 -0.506 -0.505 -0.497 -0.476 -0.441 -0.380 -0.284 -0.132  0.101  0.000  0.000  0.000
 60.000 -0.527 -0.527 -0.527 -0.526 -0.526 -0.525 -0.522 -0.519 -0.504 -0.478 -0.438 -0.371 -0.249 -0.024  0.000  0.000  0.000
 80.000 -0.545 -0.545 -0.545 -0.545 -0.544 -0.543 -0.545 -0.538 -0.527 -0.512 -0.487 -0.441 -0.335 -0.113  0.000  0.000  0.000
100.000 -0.563 -0.563 -0.563 -0.563 -0.563 -0.562 -0.561 -0.560 -0.551 -0.543 -0.532 -0.502 -0.403 -0.184  0.000  0.000  0.000
300.000 -0.693 -0.693 -0.693 -0.693 -0.694 -0.693 -0.694 -0.690 -0.671 -0.655 -0.683 -0.698 -0.710 -0.518  0.060  1.195  2.709
500.000 -0.787 -0.787 -0.787 -0.787 -0.787 -0.787 -0.787 -0.785 -0.783 -0.779 -0.775 -0.774 -0.686 -0.447  0.254  2.077  0.000
999.990 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.947 -0.951 -0.947 -0.924 -0.873 -0.287  0.300  4.612  8.923


               TABLE  2   (date: 03/20/92 with Fe intermediate coupling)

               Grevesse'91 Abundances for X=0.70 and Z=0.0001

                                          Log R

    T6  -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5   -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0

  0.002 -6.310 -6.310 -6.310 -6.310 -6.310 -6.325 -6.323 -6.280 -6.233 -6.179 -6.133 -6.096 -6.058 -6.011 -5.955 -5.893 -5.814
  0.003 -5.131 -5.131 -5.131 -5.131 -5.131 -5.203 -5.295 -5.331 -5.311 -5.318 -5.193 -5.040 -4.857 -4.673 -4.492 -4.284 -4.150
  0.004 -3.840 -3.840 -3.840 -3.840 -3.840 -4.002 -4.167 -4.234 -4.340 -4.256 -4.104 -3.904 -3.757 -3.317 -3.134 -2.709 -2.484
